Rank,Company Name,Revenue Cr,Revenue %CHG,PAT Cr,PAT %CHG,MCAP
199,Torrent Pharmaceuticals Ltd.,7729.85,23.70,436.28,-35.66,30383.11
200,Bandhan Bank Ltd.,7707.10,39.91,1951.50,45.03,86375.22
201,PNB Housing Finance Ltd.,7683.22,39.97,1191.52,41.65,9307.67
202,Adani Transmission Ltd.,7656.64,88.81,559.20,-51.07,30530.45
203,South Indian Bank Ltd.,7602.73,8.15,247.53,-26.09,2001.26
204,Muthoot Finance Ltd.,7601.05,12.08,2078.01,13.56,27695.24
205,Endurance Technologies Ltd.,7537.55,18.24,495.01,26.68,15363.20
206,Alkem Laboratories Ltd.,7444.89,14.25,760.51,20.54,24460.56
207,Container Corporation of India Ltd.,7427.08,5.39,1231.62,15.22,34786.61
208,Tata Global Beverages Ltd.,7408.63,6.55,408.19,-17.63,19097.09
209,Voltas Ltd.,7311.64,11.05,507.91,-11.27,23099.47
210,Pidilite Industries Ltd.,7228.98,16.01,924.91,-3.89,67715.26
211,Arvind Ltd.,7226.93,4.00,226.23,-26.90,1270.36
212,APL Apollo Tubes Ltd.,7164.03,34.09,148.25,-6.25,3671.67
213,Vardhman Textiles Ltd.,7116.57,10.11,730.72,25.73,5124.75
214,Security and Intelligence Services (India) Ltd.,7110.96,21.14,215.82,33.16,6768.87
215,MindTree Ltd.,7110.80,25.79,754.10,32.28,11572.81
216,Cholamandalam Investment & Finance Company Ltd.,7108.83,27.87,1198.06,30.32,24436.53
217,Ceat Ltd.,7043.71,11.17,252.22,5.98,3903.52
218,ABB India Ltd.,7030.83,10.44,510.89,21.65,30764.54
219,Allcargo Logistics Ltd.,6933.88,13.80,241.96,41.21,2406.45
220,Karnataka Bank Ltd.,6907.92,8.31,477.24,46.57,2154.90
221,IRB Infrastructure Developers Ltd.,6902.62,15.25,849.97,-7.58,2666.36
222,Bajaj Hindusthan Sugar Ltd.,6902.28,16.05,-136.56,LL,774.31
223,Amara Raja Batteries Ltd.,6839.88,11.66,483.49,2.58,12343.72
224,Deepak Fertilisers & Petrochemicals Corporation Ltd.,6796.36,12.92,70.67,-56.56,892.61
225,Karur Vysya Bank Ltd.,6778.59,2.71,210.87,-39.00,4667.31
226,Thomas Cook (India) Ltd.,6771.68,-60.75,84.82,-98.58,5238.04
227,Bajaj Electricals Ltd.,6744.36,41.58,156.40,87.01,3440.53
228,Raymond Ltd.,6707.65,10.95,167.98,24.77,4292.50
229,HEG Ltd.,6702.02,142.61,3026.16,175.27,4028.95
230,Whirlpool of India Ltd.,6695.53,11.37,409.74,16.84,27955.42
231,Birla Corporation Ltd.,6627.20,14.18,255.69,66.10,4926.00
232,Welspun India Ltd.,6608.44,7.78,209.83,-45.49,5470.34
233,SREI Infrastructure Finance Ltd.,6550.55,21.31,486.85,28.94,460.70
234,United Breweries Ltd.,6507.44,15.54,562.94,42.81,32812.57
235,PDS Multinational Fashions Ltd.,6501.98,31.40,52.84,LP,825.47
236,Escorts Ltd.,6361.21,24.13,478.93,38.01,8015.60
237,Future Lifestyle Fashions Ltd.,6342.47,28.22,188.99,49.90,8105.16
238,Future Enterprises Ltd.,6275.38,15.18,144.96,2000.87,1077.14
239,Simplex Infrastructures Ltd.,6229.81,5.55,122.30,8.36,287.07
240,Prism Johnson Ltd.,6225.47,11.63,116.40,173.88,3576.00
241,Dish TV India Ltd.,6218.28,32.63,-1144.90,LL,2705.70
242,BASF India Ltd.,6208.25,7.24,81.72,-66.85,4224.94
243,Reliance Communications Ltd.,6204.00,32.31,-7206.00,LL,185.29
244,Thermax Ltd.,6123.05,33.65,325.43,40.21,12632.88
245,Berger Paints (India) Ltd.,6121.89,17.45,497.86,8.04,47662.56
246,Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,6116.56,2.30,749.74,-5.69,3086.18
247,Shriram City Union Finance Ltd.,6069.86,11.60,1001.74,35.27,8789.10
248,Cummins India Ltd.,6025.02,11.26,742.61,4.33,15463.46
249,Godrej Agrovet Ltd.,6024.26,14.85,329.04,43.55,9324.60
250,Surya Roshni Ltd.,5984.50,21.13,120.88,11.88,945.75
251,Indraprastha Gas Ltd.,5980.25,27.30,842.10,16.68,28652.23
252,Minda Industries Ltd.,5935.12,29.76,285.62,-7.92,9147.17
